name,href,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,query
French Fries all'Assassina (Assassin’s French Fries),https://www.allrecipes.com/french-fries-all-assassina-assassin-s-french-fries-recipe-8426783,34.0,7.0,12.0,540.0,53.0,5.0,2.0,9.0,9.0,152.0,2.0,837.0,french fries
Baked French Fries II,https://www.allrecipes.com/recipe/31519/baked-french-fries-ii/,2.0,1.0,4.0,86.0,28.0,4.0,1.0,5.0,32.0,80.0,1.0,687.0,french fries
Cajun Baked French Fries,https://www.allrecipes.com/recipe/232106/cajun-baked-french-fries/,9.0,1.0,,399.0,66.0,8.0,3.0,8.0,73.0,47.0,7.0,1578.0,french fries
Spicy Chili French Fries,https://www.allrecipes.com/recipe/188423/spicy-chili-french-fries/,15.0,2.0,,1827.0,69.0,9.0,5.0,8.0,78.0,63.0,4.0,1660.0,french fries
Blue Cheese French Fries,https://www.allrecipes.com/recipe/257353/blue-cheese-french-fries/,23.0,11.0,42.0,416.0,48.0,5.0,0.0,11.0,5.0,107.0,1.0,279.0,french fries
Air Fryer Frozen French Fries,https://www.allrecipes.com/recipe/8395452/air-fryer-frozen-french-fries/,9.0,2.0,,615.0,28.0,2.0,,3.0,,,,457.0,french fries
Yuca French Fries,https://www.allrecipes.com/recipe/165419/yuca-french-fries/,29.0,4.0,,9.0,41.0,2.0,2.0,5.0,75.0,142.0,5.0,,french fries
French Fries in the Air Fryer,https://www.allrecipes.com/recipe/284981/french-fries-in-the-air-fryer/,3.0,0.0,,485.0,19.0,1.0,1.0,2.0,6.0,14.0,1.0,444.0,french fries
Mojo French Fries,https://www.allrecipes.com/recipe/222989/mojo-french-fries/,11.0,2.0,32.0,421.0,62.0,6.0,3.0,9.0,43.0,53.0,4.0,983.0,french fries
French Fried Potatoes,https://www.allrecipes.com/recipe/35963/french-fried-potatoes/,33.0,4.0,,305.0,49.0,4.0,18.0,4.0,36.0,26.0,1.0,778.0,french fries
Best Green Bean Casserole,https://www.allrecipes.com/recipe/18379/best-green-bean-casserole/,23.0,9.0,20.0,1068.0,20.0,2.0,3.0,7.0,1.0,164.0,2.0,50.0,french fries
